,BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR
72-23,24.5349704,6.8676675,3.9641612,9.4603191,18.6088736,11.2332905,10.088073,13.5463796,15.7865615,3.9641612,7.141013,8.7211907,3.9641612,17.9400576,17.5663433,17.1985958,17.5799397,10.7575954,6.5124835,11.7024433,10.2635932,3.9641612,12.5228854,21.0574916,23.0064952,18.1238671,13.2085363,3.9641612,15.0379278,19.0881279,16.7999246,11.4681571,11.9726146,10.4203643,21.2373739,11.8416953,10.5377887,3.9641612,13.7909747,3.9641612,9.7036269,8.8828627,13.8595324,12.2995952,7.2146113
72-24,28.193048,9.3190711,11.9802541,9.263024,18.0173961,12.4466202,8.0152019,12.5147105,19.5858129,4.2104292,10.291422,4.2104292,9.7191441,15.9208298,19.4469425,19.3766583,22.4772266,23.5416647,6.384705,12.7730883,4.2104292,9.1664207,4.2104292,18.8665481,20.6680563,17.3705016,22.8509016,15.3972311,16.001592,25.8149683,15.4643583,4.2104292,11.0849474,16.8524537,4.2104292,14.41361,33.5957949,4.2104292,11.0509896,10.5060155,4.2104292,10.849731,17.3514798,14.4048898,4.2104292
72-25,34.8465932,11.6369468,9.1577271,10.056969,15.395572,8.9079757,12.4770225,13.4544747,13.4798671,3.9931081,3.9931081,10.6842104,8.3789774,13.8476411,18.3777295,14.6530033,20.9411784,29.8695455,6.9430993,10.7837561,9.7822443,11.2354768,11.3789907,19.3117347,22.1653087,16.1509257,24.5962892,15.9234983,13.220639,20.0371155,14.0165549,11.7021257,7.6540277,11.6422308,3.9931081,15.3228637,29.2092479,3.9931081,12.1347393,10.3986918,9.7717131,11.3245758,13.6880751,9.9407909,3.9931081
72-26,26.2985168,10.0165009,4.0904507,9.004712,18.129417,4.0904507,7.3754407,12.2775023,14.1487704,4.0904507,11.2407469,4.0904507,4.0904507,17.4176986,13.6041148,10.4327302,23.9015299,14.2659872,7.3828654,10.6256542,4.0904507,12.0250506,14.6710164,16.5883312,19.1764849,16.9281033,16.8423066,12.8575318,12.0227761,13.3691196,13.7449483,4.0904507,10.4393115,4.0904507,13.3041379,11.4539717,15.1251661,4.0904507,14.3169559,13.5270889,9.1611447,11.7698871,10.7743412,12.4729424,4.0904507
72-27,21.0783022,11.593136,3.9415993,8.373595,32.3849532,8.4220409,8.8660834,11.2007681,13.7319264,3.9415993,9.2358466,9.565213,3.9415993,14.7908749,17.503993,15.9224774,31.502812,11.9302991,5.1348169,10.4137538,8.3607662,14.4298864,13.1916897,19.2720678,15.6146896,21.9776767,16.8052017,9.5451611,18.2527854,13.0763578,17.5665477,11.1377763,10.4537494,12.7940157,21.9805006,12.6108949,15.9783846,3.9415993,13.6932844,12.2780723,3.9415993,8.7779683,8.8670736,3.9415993,6.8550346
72-28,20.9727185,9.6750027,11.0916693,4.1838322,13.9414262,4.1838322,4.1838322,11.377882,13.6517533,4.1838322,10.8973759,4.1838322,4.1838322,15.4374958,17.3158756,12.6625182,20.377957,26.3543807,6.7456009,4.1838322,4.1838322,4.1838322,13.154665,19.8972139,19.2408852,17.4719956,23.0439811,14.3707636,16.2346586,13.053439,4.1838322,4.1838322,11.1720367,14.7953612,15.3097613,14.588049,19.5301565,4.1838322,11.6941325,9.496617,4.1838322,10.049876,12.6239191,4.1838322,4.1838322
72-29,30.1487745,7.6522391,12.8984355,8.048277,15.0019155,10.140649,12.1712802,12.6677488,14.6632161,3.962013,9.5798022,3.962013,3.962013,17.7641956,15.1756917,12.4473834,21.0575696,26.9697611,3.962013,8.7082981,3.962013,10.9042691,3.962013,14.4722789,17.3930951,18.2226561,28.1167391,13.3277694,11.7823334,14.5484464,16.27875,3.962013,9.506907,3.962013,21.3469702,9.2748773,14.5187915,3.962013,11.5276212,12.6620827,8.5290464,11.9833037,11.1740274,12.1393767,7.6549391
72-30,15.6713257,7.6806273,11.5914596,8.094718,15.9126266,3.8376018,9.6500549,12.2114952,12.4412018,3.8376018,8.7834565,3.8376018,3.8376018,13.9397816,18.4845143,14.7627891,15.8808617,20.8242785,5.1361281,3.8376018,3.8376018,12.2400639,11.2843704,14.1571868,14.2691448,12.6547897,19.3973348,13.6537844,3.8376018,13.1880264,13.3562246,3.8376018,12.0990274,15.0426244,14.0520856,10.5819427,16.5869825,3.8376018,11.7524934,9.5697688,7.2279808,9.1984298,12.0498031,3.8376018,3.8376018
72-31,14.0726915,9.8223146,12.7284233,10.8999561,10.3800097,9.0909275,6.4084814,12.9443148,22.3959905,3.8059328,10.8215272,14.0748442,11.6926038,10.9231672,12.1069431,11.9072134,20.2137824,9.5673065,10.2897723,10.7190577,7.5696364,10.3658868,12.3760978,12.5481399,18.2535881,11.5717378,10.6801263,9.5950442,16.0356249,18.8828235,13.333327,12.2542361,11.2732715,10.469893,16.29642,12.7528331,14.1794097,5.8474439,13.1729479,12.6415552,9.4452583,8.0810442,13.317733,18.3245282,7.1808174
72-32,3.8378965,11.0874875,3.8378965,7.5038028,18.6199004,11.1253313,3.8378965,11.8433192,11.7239455,3.8378965,9.8619058,9.4305232,10.0096405,12.0140659,18.0761071,15.5271794,14.4041643,10.282673,9.1236289,9.7987839,10.590866,16.8611678,13.2414961,17.5392863,15.3494394,13.2928133,9.3673956,9.3174639,21.4446586,13.313176,15.2613871,16.2049229,11.3348879,9.1350136,19.9725922,12.0756805,11.4660352,3.8378965,14.8007689,11.7659468,7.3301159,8.1352325,12.1785238,3.8378965,7.2840599
72-33,34.276393,8.7202654,4.0158541,10.778723,36.6567358,8.1170957,11.89687,13.4071384,12.6540039,4.0158541,9.3480657,4.0158541,4.0158541,20.4593845,25.2105239,15.8912166,17.7885088,14.7843894,4.0158541,12.5739607,4.0158541,4.0158541,14.2616923,17.9421378,24.3241057,18.9490896,27.5010668,19.6288373,13.4064381,14.6938976,16.5469114,12.3350311,9.7468362,11.1326538,20.8118753,11.7484882,18.6189442,4.0158541,13.0802123,11.376762,10.8757524,11.1754768,12.2141305,13.7602829,8.497767
72-34,27.4074071,9.9944567,11.3986248,12.3708834,35.9452417,8.0770982,10.5602902,11.6002391,15.2866531,3.6356312,8.939747,6.8954952,3.6356312,18.774021,24.3251927,14.0865174,21.2129019,15.2994203,5.3140105,8.138422,3.6356312,15.238017,12.497433,16.0427479,21.6598451,19.758274,27.0729688,14.2339208,16.0361254,15.4607235,14.3845597,12.6199403,11.3916314,11.4043168,28.2078762,13.1799782,19.1275969,3.6356312,12.3248933,13.5321308,6.8182867,8.5777869,11.2379232,9.1404143,7.8489859
